section,category,templates,routes,Homepage,Persona page (founders / operators / people-leaders),Company,Customers (coming soon),Product feature page (agents / performance / time-off / people-directory / documents),Pricing,Security,Waitlist,MCP use cases index,MCP use case detail,Tools index,Tool calculator detail,Compliance index,Compliance country guide (English + localized),Compliance calendar,Legal document (privacy / terms / DPA),Blog index (English + localized),Blog category listing,Blog post (English + localized),404 Not Found
shell.navbar,SHELL,20,202,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.footer,SHELL,20,202,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
shell.cookie-banner,SHELL,20,202,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
content.faq,CONTENT,10,175,x,x,,,x,x,x,x,x,x,,,,x,,,,,x,
content.blog-post-body,CONTENT,1,143,,,,,,,,,,,,,,,,,,,x,
hero.page-header,HERO,9,34,,,,,,x,x,,,,x,x,x,x,x,,x,x,,
content.related-grid,CONTENT,3,24,,,,,x,,,,,x,,,,x,,,,,,
content.prose-guide,CONTENT,2,16,,,,,,,,,,,,x,,x,,,,,,
features.compliance-at-a-glance,FEATURES,1,11,,,,,,,,,,,,,,x,,,,,,
navigation.guide-toc,NAVIGATION,1,11,,,,,,,,,,,,,,x,,,,,,
proof.testimonial,PROOF,4,10,x,x,,,x,,,x,,,,,,,,,,,,
content.blog-index-cards,CONTENT,2,10,,,,,,,,,,,,,,,,,x,x,,
content.blog-archive-list,CONTENT,2,10,,,,,,,,,,,,,,,,,x,x,,
navigation.blog-category-nav,NAVIGATION,2,10,,,,,,,,,,,,,,,,,x,x,,
features.people-ops-grid,FEATURES,7,9,x,x,,,,x,x,x,,,x,,x,,,,,,,
comparison.table,COMPARISON,3,9,,x,,,x,x,,,,,,,,,,,,,,
hero.mcp-split,HERO,2,9,,,,,,,,,x,x,,,,,,,,,,
features.pain-columns,FEATURES,2,8,,x,,,x,,,,,,,,,,,,,,,
features.mcp-how-it-works,FEATURES,1,8,,,,,,,,,,x,,,,,,,,,,
features.split-media,FEATURES,3,7,x,,,,x,,x,,,,,,,,,,,,,
content.blog-product-timeline,CONTENT,1,6,,,,,,,,,,,,,,,,,x,,,
hero.persona,HERO,3,5,,x,x,x,,,,,,,,,,,,,,,,
hero.product,HERO,1,5,,,,,x,,,,,,,,,,,,,,,
utility.calculator,UTILITY,1,5,,,,,,,,,,,,x,,,,,,,,
proof.math-stats,PROOF,2,4,x,x,,,,,,,,,,,,,,,,,,
utility.compliance-calendar,UTILITY,1,4,,,,,,,,,,,,,,,x,,,,,
trust.security-badges,TRUST,3,3,x,,,,,x,x,,,,,,,,,,,,,
content.legal-doc,CONTENT,1,3,,,,,,,,,,,,,,,,x,,,,
proof.logo-marquee,PROOF,2,2,x,,,,,x,,,,,,,,,,,,,,
proof.personas-grid,PROOF,2,2,x,,,,,,,x,,,,,,,,,,,,
hero.marketing,HERO,1,1,x,,,,,,,,,,,,,,,,,,,
hero.waitlist-intro,HERO,1,1,,,,,,,,x,,,,,,,,,,,,
features.why-taito,FEATURES,1,1,x,,,,,,,,,,,,,,,,,,,
features.company-story,FEATURES,1,1,,,x,,,,,,,,,,,,,,,,,
features.company-mission,FEATURES,1,1,,,x,,,,,,,,,,,,,,,,,
features.team-grid,FEATURES,1,1,,,x,,,,,,,,,,,,,,,,,
features.calculator-tool-list,FEATURES,1,1,,,,,,,,,,,x,,,,,,,,,
features.compliance-markets-grid,FEATURES,1,1,,,,,,,,,,,,,x,,,,,,,
features.mcp-value-columns,FEATURES,1,1,,,,,,,,,x,,,,,,,,,,,
content.mcp-gallery-grid,CONTENT,1,1,,,,,,,,,x,,,,,,,,,,,
trust.integrations-grid,TRUST,1,1,x,,,,,,,,,,,,,,,,,,,
conversion.pricing-columns,CONVERSION,1,1,,,,,,x,,,,,,,,,,,,,,
conversion.waitlist-form,CONVERSION,1,1,,,,,,,,x,,,,,,,,,,,,
content.not-found,CONTENT,1,1,,,,,,,,,,,,,,,,,,,,x
ROUTE COUNT,,,202,1,3,1,1,5,1,1,1,1,8,1,5,1,11,4,3,6,4,143,1
